station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
MMCV,2016-01-01 18:40,SCT,BKN,OVC,200.00,500.00,1000.00
MMCV,2016-01-02 16:40,BKN,OVC,,500.00,1000.00,
MMCV,2016-01-02 17:40,BKN,OVC,,300.00,1000.00,
MMCV,2016-01-02 18:40,SCT,BKN,OVC,300.00,500.00,1000.00
MMCV,2016-01-03 12:40,SCT,OVC,,500.00,1000.00,
MMCV,2016-01-03 20:40,SCT,BKN,,2000.00,2500.00,
MMCV,2016-01-04 00:40,FEW,,,2500.00,,
MMCV,2016-01-04 01:40,FEW,,,2500.00,,
MMCV,2016-01-04 19:40,BKN,OVC,,2000.00,2500.00,
MMCV,2016-01-04 20:40,BKN,OVC,,2000.00,2500.00,
MMCV,2016-01-04 22:40,SCT,OVC,,2000.00,2500.00,
MMCV,2016-01-05 00:40,SCT,OVC,,2000.00,3000.00,
MMCV,2016-01-05 13:40,FEW,,,2500.00,,
MMCV,2016-01-05 15:40,FEW,,,2500.00,,
MMCV,2016-01-05 16:40,SCT,,,2500.00,,
MMCV,2016-01-05 17:40,BKN,,,2500.00,,
MMCV,2016-01-05 21:40,BKN,,,2500.00,,
MMCV,2016-01-05 22:40,BKN,,,2500.00,,
MMCV,2016-01-06 13:40,CLR,,,,,
MMCV,2016-01-06 14:40,CLR,,,,,
MMCV,2016-01-06 16:40,FEW,,,1500.00,,
MMCV,2016-01-06 18:40,CLR,,,,,
MMCV,2016-01-06 19:40,CLR,,,,,
MMCV,2016-01-06 22:40,FEW,,,1500.00,,
MMCV,2016-01-07 21:40,CLR,,,,,
MMCV,2016-01-08 01:40,CLR,,,,,
MMCV,2016-01-08 19:40,BKN,,,22000.00,,
MMCV,2016-01-08 20:40,BKN,,,22000.00,,
MMCV,2016-01-08 22:40,SCT,,,22000.00,,
MMCV,2016-01-08 23:40,FEW,,,22000.00,,
MMCV,2016-01-09 12:40,FEW,,,1500.00,,
MMCV,2016-01-09 21:40,SCT,,,22000.00,,
MMCV,2016-01-10 00:40,FEW,,,22000.00,,
MMCV,2016-01-10 16:40,BKN,,,8000.00,,
MMCV,2016-01-10 21:40,SCT,,,7000.00,,
MMCV,2016-01-11 00:40,SCT,BKN,,4000.00,7000.00,
MMCV,2016-01-11 14:40,BKN,,,2000.00,,
MMCV,2016-01-11 15:40,BKN,,,2000.00,,
MMCV,2016-01-11 17:40,BKN,,,2500.00,,
MMCV,2016-01-11 18:40,BKN,,,2000.00,,
MMCV,2016-01-11 19:40,BKN,,,2000.00,,
MMCV,2016-01-11 21:40,FEW,BKN,,2000.00,4000.00,
MMCV,2016-01-12 15:40,SCT,OVC,,1500.00,4000.00,
MMCV,2016-01-12 16:40,SCT,OVC,,1500.00,4000.00,
MMCV,2016-01-12 19:40,SCT,OVC,,1500.00,4000.00,
MMCV,2016-01-13 01:40,OVC,,,4500.00,,
MMCV,2016-01-13 12:40,SCT,OVC,,1500.00,3000.00,
MMCV,2016-01-13 15:40,BKN,OVC,,1000.00,2000.00,
MMCV,2016-01-13 19:40,SCT,BKN,OVC,1000.00,2000.00,7000.00
MMCV,2016-01-13 21:40,SCT,OVC,,1500.00,3000.00,
MMCV,2016-01-13 22:40,SCT,OVC,,1500.00,3000.00,
MMCV,2016-01-14 01:40,BKN,OVC,,1500.00,3000.00,
MMCV,2016-01-14 15:40,SCT,OVC,,200.00,800.00,
MMCV,2016-01-14 17:40,FEW,BKN,,200.00,1500.00,
MMCV,2016-01-14 18:40,SCT,,,3000.00,,
MMCV,2016-01-14 20:40,CLR,,,,,
MMCV,2016-01-15 00:40,CLR,,,,,
MMCV,2016-01-15 17:40,CLR,,,,,
MMCV,2016-01-15 19:40,CLR,,,,,
MMCV,2016-01-15 20:40,CLR,,,,,
MMCV,2016-01-16 03:40,CLR,,,,,
MMCV,2016-01-16 13:40,FEW,BKN,,1000.00,1500.00,
MMCV,2016-01-16 15:40,FEW,BKN,,1000.00,3000.00,
MMCV,2016-01-16 20:40,BKN,,,20000.00,,
MMCV,2016-01-16 22:40,BKN,,,20000.00,,
MMCV,2016-01-17 00:40,FEW,,,20000.00,,
MMCV,2016-01-17 01:40,CLR,,,,,
MMCV,2016-01-17 14:40,CLR,,,,,
MMCV,2016-01-17 15:40,CLR,,,,,
MMCV,2016-01-17 16:40,CLR,,,,,
MMCV,2016-01-17 17:40,CLR,,,,,
MMCV,2016-01-17 19:40,CLR,,,,,
MMCV,2016-01-17 21:40,CLR,,,,,
MMCV,2016-01-17 22:40,CLR,,,,,
MMCV,2016-01-18 00:40,CLR,,,,,
MMCV,2016-01-18 14:40,CLR,,,,,
MMCV,2016-01-18 19:40,CLR,,,,,
MMCV,2016-01-18 22:40,CLR,,,,,
MMCV,2016-01-18 23:40,CLR,,,,,
MMCV,2016-01-19 00:40,CLR,,,,,
MMCV,2016-01-19 01:40,CLR,,,,,
MMCV,2016-01-19 12:40,FEW,,,2000.00,,
MMCV,2016-01-19 13:40,FEW,,,2000.00,,
MMCV,2016-01-19 14:40,CLR,,,,,
MMCV,2016-01-19 19:40,CLR,,,,,
MMCV,2016-01-19 20:40,CLR,,,,,
MMCV,2016-01-19 21:40,CLR,,,,,
MMCV,2016-01-19 22:40,CLR,,,,,
MMCV,2016-01-19 23:40,CLR,,,,,
MMCV,2016-01-20 01:40,CLR,,,,,
MMCV,2016-01-20 12:40,VV ,,,100.00,,
MMCV,2016-01-20 13:40,BKN,OVC,,200.00,500.00,
MMCV,2016-01-20 16:40,SCT,,,20000.00,,
MMCV,2016-01-20 17:40,SCT,,,20000.00,,
MMCV,2016-01-20 19:40,CLR,,,,,
MMCV,2016-01-20 20:40,CLR,,,,,
MMCV,2016-01-20 22:40,CLR,,,,,
MMCV,2016-01-21 00:40,CLR,,,,,
MMCV,2016-01-21 01:40,CLR,,,,,
MMCV,2016-01-21 12:40,CLR,,,,,
MMCV,2016-01-21 13:40,BKN,,,1000.00,,
MMCV,2016-01-21 15:40,CLR,,,,,
MMCV,2016-01-21 16:40,CLR,,,,,
MMCV,2016-01-21 17:40,CLR,,,,,
MMCV,2016-01-21 19:40,CLR,,,,,
MMCV,2016-01-21 20:40,CLR,,,,,
MMCV,2016-01-21 21:40,CLR,,,,,
MMCV,2016-01-21 22:40,CLR,,,,,
MMCV,2016-01-22 00:40,CLR,,,,,
MMCV,2016-01-22 01:40,CLR,,,,,
MMCV,2016-01-22 12:40,CLR,,,,,
MMCV,2016-01-22 16:40,SCT,,,7000.00,,
MMCV,2016-01-22 18:40,CLR,,,,,
MMCV,2016-01-22 19:40,CLR,,,,,
MMCV,2016-01-22 21:40,CLR,,,,,
MMCV,2016-01-22 23:40,CLR,,,,,
MMCV,2016-01-23 00:40,CLR,,,,,
MMCV,2016-01-23 15:40,CLR,,,,,
MMCV,2016-01-23 19:40,CLR,,,,,
MMCV,2016-01-23 22:40,CLR,,,,,
MMCV,2016-01-23 23:40,CLR,,,,,
MMCV,2016-01-24 00:40,CLR,,,,,
MMCV,2016-01-24 13:40,CLR,,,,,
MMCV,2016-01-24 15:40,CLR,,,,,
MMCV,2016-01-24 16:40,CLR,,,,,
MMCV,2016-01-24 18:40,CLR,,,,,
MMCV,2016-01-24 19:40,CLR,,,,,
MMCV,2016-01-24 21:40,FEW,,,22000.00,,
MMCV,2016-01-24 22:40,BKN,,,22000.00,,
MMCV,2016-01-24 23:40,SCT,BKN,,10000.00,22000.00,
MMCV,2016-01-25 00:40,SCT,SCT,,10000.00,22000.00,
MMCV,2016-01-25 16:40,BKN,,,8000.00,,
MMCV,2016-01-25 18:40,FEW,BKN,,8000.00,20000.00,
MMCV,2016-01-25 20:40,SCT,BKN,,8000.00,20000.00,
MMCV,2016-01-25 21:40,SCT,BKN,,8000.00,20000.00,
MMCV,2016-01-25 23:40,SCT,BKN,,8000.00,20000.00,
MMCV,2016-01-26 00:40,BKN,OVC,,8000.00,20000.00,
MMCV,2016-01-26 01:40,OVC,,,8000.00,,
MMCV,2016-01-26 12:40,CLR,,,,,
MMCV,2016-01-26 15:40,BKN,,,8000.00,,
MMCV,2016-01-26 16:40,SCT,,,8000.00,,
MMCV,2016-01-26 19:40,CLR,,,,,
MMCV,2016-01-26 20:40,CLR,,,,,
MMCV,2016-01-26 21:40,FEW,,,2500.00,,
MMCV,2016-01-27 01:40,OVC,,,2000.00,,
MMCV,2016-01-27 12:40,SCT,OVC,,1000.00,1500.00,
MMCV,2016-01-28 00:40,FEW,OVC,,300.00,1000.00,
MMCV,2016-01-28 01:40,FEW,OVC,,300.00,1000.00,
MMCV,2016-01-28 14:40,CLR,,,,,
MMCV,2016-01-28 16:40,SCT,,,20000.00,,
MMCV,2016-01-28 20:40,BKN,,,20000.00,,
MMCV,2016-01-28 21:40,BKN,,,20000.00,,
MMCV,2016-01-28 22:40,BKN,,,20000.00,,
MMCV,2016-01-28 23:40,BKN,,,20000.00,,
MMCV,2016-01-29 13:40,BKN,,,20000.00,,
MMCV,2016-01-29 15:40,SCT,,,20000.00,,
MMCV,2016-01-29 16:40,BKN,,,22000.00,,
MMCV,2016-01-29 18:40,BKN,,,22000.00,,
MMCV,2016-01-29 19:40,BKN,,,22000.00,,
MMCV,2016-01-29 20:40,BKN,,,22000.00,,
MMCV,2016-01-29 21:40,BKN,,,22000.00,,
MMCV,2016-01-30 01:40,CLR,,,,,
MMCV,2016-01-30 12:40,OVC,,,22000.00,,
MMCV,2016-01-30 15:40,FEW,SCT,BKN,2000.00,7000.00,22000.00
MMCV,2016-01-30 19:40,BKN,,,9000.00,,
MMCV,2016-01-31 00:40,SCT,BKN,,12000.00,20000.00,
MMCV,2016-01-31 01:40,SCT,,,12000.00,,
MMCV,2016-01-31 12:40,SCT,BKN,,500.00,9000.00,
MMCV,2016-01-31 15:40,FEW,,,20000.00,,
MMCV,2016-01-31 23:40,CLR,,,,,
MMCV,2016-02-01 01:40,CLR,,,,,
MMCV,2016-02-01 12:40,CLR,,,,,
MMCV,2016-02-01 13:40,CLR,,,,,
MMCV,2016-02-01 14:40,CLR,,,,,
MMCV,2016-02-01 18:40,CLR,,,,,
MMCV,2016-02-01 22:40,CLR,,,,,
MMCV,2016-02-02 12:40,CLR,,,,,
MMCV,2016-02-02 13:40,CLR,,,,,
MMCV,2016-02-02 18:40,BKN,,,8000.00,,
MMCV,2016-02-02 23:40,SCT,,,7000.00,,
MMCV,2016-02-03 13:40,FEW,,,22000.00,,
MMCV,2016-02-03 14:40,CLR,,,,,
MMCV,2016-02-03 16:40,CLR,,,,,
MMCV,2016-02-03 20:40,CLR,,,,,
MMCV,2016-02-03 21:40,CLR,,,,,
MMCV,2016-02-04 13:40,FEW,,,4000.00,,
MMCV,2016-02-04 15:40,CLR,,,,,
MMCV,2016-02-04 18:40,CLR,,,,,
MMCV,2016-02-04 19:40,CLR,,,,,
MMCV,2016-02-04 22:40,CLR,,,,,
MMCV,2016-02-04 23:40,CLR,,,,,
MMCV,2016-02-05 01:40,CLR,,,,,
MMCV,2016-02-05 15:40,BKN,,,3000.00,,
MMCV,2016-02-05 17:40,FEW,,,3000.00,,
MMCV,2016-02-05 18:40,CLR,,,,,
MMCV,2016-02-05 19:40,CLR,,,,,
MMCV,2016-02-05 21:40,CLR,,,,,
MMCV,2016-02-06 01:40,CLR,,,,,
MMCV,2016-02-06 12:40,SCT,BKN,,7000.00,22000.00,
MMCV,2016-02-06 13:40,SCT,SCT,,7000.00,22000.00,
MMCV,2016-02-06 19:40,FEW,,,22000.00,,
MMCV,2016-02-07 00:40,SCT,,,22000.00,,
MMCV,2016-02-07 01:40,SCT,,,22000.00,,
MMCV,2016-02-07 13:40,FEW,,,2000.00,,
MMCV,2016-02-07 16:40,SCT,,,20000.00,,
MMCV,2016-02-07 21:40,SCT,BKN,,10000.00,20000.00,
MMCV,2016-02-08 01:40,SCT,OVC,,5000.00,10000.00,
MMCV,2016-02-08 12:40,BKN,OVC,,1500.00,8000.00,
MMCV,2016-02-08 15:40,BKN,OVC,,8000.00,20000.00,
MMCV,2016-02-08 17:40,BKN,OVC,,8000.00,20000.00,
MMCV,2016-02-08 18:40,BKN,OVC,,8000.00,20000.00,
MMCV,2016-02-08 20:40,OVC,,,12000.00,,
MMCV,2016-02-08 22:40,FEW,OVC,,3000.00,12000.00,
MMCV,2016-02-08 23:40,FEW,OVC,,3000.00,12000.00,
MMCV,2016-02-09 01:40,FEW,OVC,,3000.00,12000.00,
MMCV,2016-02-09 12:40,BKN,OVC,,1500.00,7000.00,
MMCV,2016-02-09 15:40,BKN,OVC,,2000.00,10000.00,
MMCV,2016-02-09 16:40,BKN,OVC,,2000.00,10000.00,
MMCV,2016-02-09 20:40,SCT,OVC,,5000.00,10000.00,
MMCV,2016-02-09 21:40,SCT,OVC,,5000.00,10000.00,
MMCV,2016-02-10 16:40,CLR,,,,,
MMCV,2016-02-10 17:40,CLR,,,,,
MMCV,2016-02-10 22:40,CLR,,,,,
MMCV,2016-02-10 23:40,CLR,,,,,
MMCV,2016-02-11 00:40,CLR,,,,,
MMCV,2016-02-11 01:40,CLR,,,,,
MMCV,2016-02-11 12:40,CLR,,,,,
MMCV,2016-02-11 19:40,CLR,,,,,
MMCV,2016-02-11 21:40,CLR,,,,,
MMCV,2016-02-11 23:40,CLR,,,,,
MMCV,2016-02-12 00:40,CLR,,,,,
MMCV,2016-02-12 01:40,CLR,,,,,
MMCV,2016-02-12 14:40,SCT,,,22000.00,,
MMCV,2016-02-12 15:40,FEW,,,22000.00,,
MMCV,2016-02-12 17:40,SCT,,,22000.00,,
MMCV,2016-02-12 18:40,SCT,,,22000.00,,
MMCV,2016-02-12 19:40,SCT,,,22000.00,,
MMCV,2016-02-12 21:40,SCT,,,22000.00,,
MMCV,2016-02-12 22:40,SCT,,,22000.00,,
MMCV,2016-02-13 00:40,FEW,,,22000.00,,
MMCV,2016-02-13 01:40,CLR,,,,,
MMCV,2016-02-13 12:40,FEW,,,22000.00,,
MMCV,2016-02-13 13:40,FEW,,,22000.00,,
MMCV,2016-02-13 15:40,CLR,,,,,
MMCV,2016-02-13 16:40,CLR,,,,,
MMCV,2016-02-13 19:40,BKN,,,22000.00,,
MMCV,2016-02-13 20:40,BKN,,,22000.00,,
MMCV,2016-02-13 21:40,SCT,,,22000.00,,
MMCV,2016-02-14 00:40,CLR,,,,,
MMCV,2016-02-14 01:40,CLR,,,,,
MMCV,2016-02-14 15:40,FEW,,,20000.00,,
MMCV,2016-02-14 16:40,CLR,,,,,
MMCV,2016-02-14 18:40,BKN,,,22000.00,,
MMCV,2016-02-14 19:40,BKN,,,22000.00,,
MMCV,2016-02-14 20:40,BKN,,,22000.00,,
MMCV,2016-02-14 21:40,BKN,,,22000.00,,
MMCV,2016-02-15 13:40,BKN,,,22000.00,,
MMCV,2016-02-15 14:40,SCT,,,22000.00,,
MMCV,2016-02-15 15:40,SCT,,,22000.00,,
MMCV,2016-02-15 16:40,SCT,,,22000.00,,
MMCV,2016-02-15 18:40,BKN,,,22000.00,,
MMCV,2016-02-15 19:40,SCT,,,22000.00,,
MMCV,2016-02-15 22:40,CLR,,,,,
MMCV,2016-02-16 01:40,CLR,,,,,
MMCV,2016-02-16 13:40,SCT,,,22000.00,,
MMCV,2016-02-16 15:40,FEW,,,22000.00,,
MMCV,2016-02-16 16:40,FEW,,,22000.00,,
MMCV,2016-02-16 19:40,CLR,,,,,
MMCV,2016-02-16 21:40,CLR,,,,,
MMCV,2016-02-16 22:40,CLR,,,,,
MMCV,2016-02-17 01:40,CLR,,,,,
MMCV,2016-02-17 15:40,BKN,OVC,,500.00,700.00,
MMCV,2016-02-17 20:40,CLR,,,,,
MMCV,2016-02-17 21:40,CLR,,,,,
MMCV,2016-02-17 22:40,CLR,,,,,
MMCV,2016-02-17 23:40,CLR,,,,,
MMCV,2016-02-18 14:40,CLR,,,,,
MMCV,2016-02-18 15:40,CLR,,,,,
MMCV,2016-02-18 21:40,CLR,,,,,
MMCV,2016-02-18 22:40,CLR,,,,,
MMCV,2016-02-19 00:40,CLR,,,,,
MMCV,2016-02-19 01:40,CLR,,,,,
MMCV,2016-02-19 13:40,CLR,,,,,
MMCV,2016-02-19 17:40,SCT,,,22000.00,,
MMCV,2016-02-19 21:40,BKN,,,22000.00,,
MMCV,2016-02-19 22:40,BKN,,,22000.00,,
MMCV,2016-02-19 23:40,BKN,,,22000.00,,
MMCV,2016-02-20 15:40,SCT,SCT,,2000.00,22000.00,
MMCV,2016-02-20 16:40,SCT,SCT,,1500.00,22000.00,
MMCV,2016-02-20 19:40,SCT,BKN,,1500.00,22000.00,
MMCV,2016-02-21 01:40,BKN,,,22000.00,,
MMCV,2016-02-21 13:40,SCT,,,20000.00,,
MMCV,2016-02-21 15:40,BKN,,,20000.00,,
MMCV,2016-02-21 19:40,SCT,,,20000.00,,
MMCV,2016-02-21 20:40,SCT,,,20000.00,,
MMCV,2016-02-21 22:40,SCT,,,20000.00,,
MMCV,2016-02-21 23:40,SCT,,,20000.00,,
MMCV,2016-02-22 12:40,BKN,,,2500.00,,
MMCV,2016-02-22 13:40,SCT,,,2500.00,,
MMCV,2016-02-22 15:40,CLR,,,,,
MMCV,2016-02-22 16:40,CLR,,,,,
MMCV,2016-02-22 19:40,CLR,,,,,
MMCV,2016-02-22 22:40,CLR,,,,,
MMCV,2016-02-22 23:40,CLR,,,,,
MMCV,2016-02-23 00:40,CLR,,,,,
MMCV,2016-02-23 13:40,CLR,,,,,
MMCV,2016-02-23 14:40,CLR,,,,,
MMCV,2016-02-23 15:40,CLR,,,,,
MMCV,2016-02-23 16:40,CLR,,,,,
MMCV,2016-02-23 18:40,CLR,,,,,
MMCV,2016-02-23 21:40,CLR,,,,,
MMCV,2016-02-23 22:40,CLR,,,,,
MMCV,2016-02-24 13:40,SCT,OVC,,3000.00,6000.00,
MMCV,2016-02-24 15:40,BKN,BKN,,3000.00,7000.00,
MMCV,2016-02-24 16:40,SCT,BKN,,3000.00,7000.00,
MMCV,2016-02-24 20:40,BKN,OVC,,5000.00,10000.00,
MMCV,2016-02-24 21:40,BKN,BKN,,5500.00,10000.00,
MMCV,2016-02-24 23:40,FEW,,,5500.00,,
MMCV,2016-02-25 00:40,FEW,,,5500.00,,
MMCV,2016-02-25 01:40,CLR,,,,,
MMCV,2016-02-25 12:40,CLR,,,,,
MMCV,2016-02-25 14:40,CLR,,,,,
MMCV,2016-02-25 16:40,CLR,,,,,
MMCV,2016-02-25 18:40,FEW,,,22000.00,,
MMCV,2016-02-25 22:40,SCT,,,22000.00,,
MMCV,2016-02-25 23:40,SCT,,,22000.00,,
MMCV,2016-02-26 12:40,SCT,,,3000.00,,
MMCV,2016-02-26 15:40,SCT,,,22000.00,,
MMCV,2016-02-26 22:40,SCT,BKN,,2000.00,3000.00,
MMCV,2016-02-26 23:40,BKN,,,3000.00,,
MMCV,2016-02-27 00:40,BKN,,,3000.00,,
MMCV,2016-02-27 01:40,BKN,,,3000.00,,
MMCV,2016-02-27 12:40,BKN,OVC,,1500.00,22000.00,
MMCV,2016-02-27 13:40,BKN,OVC,,1500.00,22000.00,
MMCV,2016-02-27 19:40,BKN,OVC,,1500.00,22000.00,
MMCV,2016-02-27 21:40,SCT,OVC,,1500.00,22000.00,
MMCV,2016-02-27 23:40,SCT,OVC,,1500.00,5000.00,
MMCV,2016-02-28 00:40,SCT,OVC,,1500.00,22000.00,
MMCV,2016-02-28 01:40,BKN,,,2000.00,,
MMCV,2016-02-28 22:40,BKN,,,8000.00,,
MMCV,2016-02-28 23:40,BKN,,,8000.00,,
MMCV,2016-02-29 01:40,FEW,,,5000.00,,
MMCV,2016-02-29 13:40,CLR,,,,,
MMCV,2016-02-29 19:40,CLR,,,,,
MMCV,2016-02-29 20:40,CLR,,,,,
MMCV,2016-02-29 21:40,CLR,,,,,
MMCV,2016-02-29 22:40,CLR,,,,,
MMCV,2016-02-29 23:40,CLR,,,,,
MMCV,2016-03-01 00:40,CLR,,,,,
MMCV,2016-03-01 01:40,CLR,,,,,
MMCV,2016-03-01 13:40,SCT,,,3000.00,,
MMCV,2016-03-01 14:40,SCT,BKN,,3000.00,20000.00,
MMCV,2016-03-01 21:40,FEW,SCT,,3000.00,8000.00,
MMCV,2016-03-01 22:40,FEW,BKN,BKN,3000.00,8000.00,20000.00
MMCV,2016-03-01 23:40,FEW,BKN,,3000.00,8000.00,
MMCV,2016-03-02 00:40,FEW,BKN,,3000.00,8000.00,
MMCV,2016-03-02 01:40,FEW,BKN,,3000.00,8000.00,
MMCV,2016-03-02 16:40,BKN,,,20000.00,,
MMCV,2016-03-02 18:40,FEW,SCT,,1000.00,20000.00,
MMCV,2016-03-02 21:40,BKN,,,2000.00,,
MMCV,2016-03-02 22:40,BKN,BKN,BKN,3500.00,12000.00,25000.00
MMCV,2016-03-03 00:40,SCT,BKN,OVC,3000.00,12000.00,25000.00
MMCV,2016-03-03 01:40,SCT,OVC,,3000.00,10000.00,
MMCV,2016-03-03 16:40,BKN,,,22000.00,,
MMCV,2016-03-03 17:40,BKN,,,22000.00,,
MMCV,2016-03-03 18:40,BKN,,,22000.00,,
MMCV,2016-03-03 19:40,SCT,,,22000.00,,
MMCV,2016-03-03 20:40,CLR,,,,,
MMCV,2016-03-04 00:40,CLR,,,,,
MMCV,2016-03-04 01:40,CLR,,,,,
MMCV,2016-03-04 15:40,FEW,OVC,,1000.00,2000.00,
MMCV,2016-03-04 16:40,OVC,,,1500.00,,
MMCV,2016-03-04 19:40,BKN,,,1500.00,,
MMCV,2016-03-05 19:40,FEW,,,1000.00,,
MMCV,2016-03-05 20:40,FEW,,,1000.00,,
MMCV,2016-03-05 21:40,SCT,,,2000.00,,
MMCV,2016-03-05 22:40,SCT,,,2000.00,,
MMCV,2016-03-06 22:40,CLR,,,,,
MMCV,2016-03-07 01:40,SCT,,,20000.00,,
MMCV,2016-03-07 12:40,FEW,,,2000.00,,
MMCV,2016-03-07 13:40,FEW,,,2000.00,,
MMCV,2016-03-07 15:40,SCT,,,2000.00,,
MMCV,2016-03-07 16:40,FEW,,,2000.00,,
MMCV,2016-03-07 18:40,CLR,,,,,
MMCV,2016-03-07 19:40,CLR,,,,,
MMCV,2016-03-08 01:40,CLR,,,,,
MMCV,2016-03-08 13:40,BKN,,,20000.00,,
MMCV,2016-03-08 14:40,BKN,,,20000.00,,
MMCV,2016-03-08 16:40,BKN,,,20000.00,,
MMCV,2016-03-08 20:40,SCT,BKN,,8000.00,20000.00,
MMCV,2016-03-08 22:40,FEW,SCT,,3000.00,12000.00,
MMCV,2016-03-09 21:40,BKN,OVC,,1500.00,2000.00,
MMCV,2016-03-10 01:40,FEW,OVC,,300.00,2000.00,
MMCV,2016-03-10 14:40,CLR,,,,,
MMCV,2016-03-10 19:40,SCT,BKN,BKN,2000.00,8000.00,22000.00
MMCV,2016-03-10 20:40,BKN,,,2000.00,,
MMCV,2016-03-10 22:40,BKN,BKN,,2000.00,8000.00,
MMCV,2016-03-11 00:40,FEW,,,3000.00,,
MMCV,2016-03-11 13:40,FEW,SCT,,10000.00,22000.00,
MMCV,2016-03-11 15:40,FEW,BKN,,10000.00,22000.00,
MMCV,2016-03-11 16:40,BKN,,,22000.00,,
MMCV,2016-03-11 17:40,BKN,,,22000.00,,
MMCV,2016-03-11 19:40,FEW,BKN,,2000.00,22000.00,
MMCV,2016-03-11 20:40,FEW,BKN,,2000.00,22000.00,
MMCV,2016-03-12 00:40,SCT,BKN,,1500.00,2000.00,
MMCV,2016-03-12 01:40,SCT,,,2000.00,,
MMCV,2016-03-12 13:40,CLR,,,,,
MMCV,2016-03-12 15:40,FEW,,,1500.00,,
MMCV,2016-03-12 19:40,CLR,,,,,
MMCV,2016-03-12 21:40,CLR,,,,,
MMCV,2016-03-12 22:40,CLR,,,,,
MMCV,2016-03-13 00:40,CLR,,,,,
MMCV,2016-03-13 01:40,CLR,,,,,
MMCV,2016-03-13 13:40,CLR,,,,,
MMCV,2016-03-13 14:40,CLR,,,,,
MMCV,2016-03-13 16:40,CLR,,,,,
MMCV,2016-03-13 21:40,CLR,,,,,
MMCV,2016-03-14 01:40,CLR,,,,,
MMCV,2016-03-14 13:40,SCT,,,20000.00,,
MMCV,2016-03-14 15:40,BKN,,,20000.00,,
MMCV,2016-03-14 18:40,SCT,,,20000.00,,
MMCV,2016-03-14 19:40,BKN,,,22000.00,,
MMCV,2016-03-14 20:40,BKN,,,22000.00,,
MMCV,2016-03-14 21:40,BKN,,,22000.00,,
MMCV,2016-03-15 14:40,BKN,,,22000.00,,
MMCV,2016-03-15 15:40,BKN,,,22000.00,,
MMCV,2016-03-15 18:40,BKN,,,22000.00,,
MMCV,2016-03-15 22:40,BKN,OVC,,10000.00,22000.00,
MMCV,2016-03-16 00:40,OVC,,,12000.00,,
MMCV,2016-03-16 13:40,SCT,BKN,,9000.00,22000.00,
MMCV,2016-03-16 14:40,SCT,BKN,,9000.00,22000.00,
MMCV,2016-03-16 16:40,SCT,BKN,,9000.00,22000.00,
MMCV,2016-03-16 17:40,SCT,BKN,,9000.00,22000.00,
MMCV,2016-03-16 18:40,SCT,BKN,,9000.00,22000.00,
MMCV,2016-03-16 19:40,SCT,BKN,,9000.00,22000.00,
MMCV,2016-03-16 22:40,FEW,OVC,,3000.00,10000.00,
MMCV,2016-03-17 13:40,BKN,OVC,,800.00,1000.00,
MMCV,2016-03-17 14:40,BKN,OVC,,1000.00,2000.00,
MMCV,2016-03-17 15:40,SCT,OVC,,1000.00,2000.00,
MMCV,2016-03-17 19:40,SCT,OVC,,1500.00,8000.00,
MMCV,2016-03-18 16:40,SCT,,,3000.00,,
MMCV,2016-03-18 21:40,FEW,SCT,BKN,3000.00,10000.00,20000.00
MMCV,2016-03-19 13:40,FEW,SCT,OVC,500.00,1000.00,2000.00
MMCV,2016-03-19 15:40,FEW,SCT,BKN,1000.00,2000.00,7000.00
MMCV,2016-03-19 16:40,FEW,SCT,SCT,1000.00,3000.00,7000.00
MMCV,2016-03-19 18:40,BKN,,,1500.00,,
MMCV,2016-03-20 18:40,FEW,BKN,,4000.00,8000.00,
MMCV,2016-03-20 19:40,SCT,,,8000.00,,
MMCV,2016-03-20 21:40,SCT,,,4000.00,,
MMCV,2016-03-21 00:40,OVC,,,9000.00,,
MMCV,2016-03-21 01:40,OVC,,,9000.00,,
MMCV,2016-03-22 14:40,FEW,,,22000.00,,
MMCV,2016-03-22 15:40,FEW,,,22000.00,,
MMCV,2016-03-22 16:40,BKN,,,22000.00,,
MMCV,2016-03-22 18:40,SCT,,,22000.00,,
MMCV,2016-03-22 19:40,FEW,,,22000.00,,
MMCV,2016-03-22 22:40,FEW,,,22000.00,,
MMCV,2016-03-22 23:40,FEW,,,22000.00,,
MMCV,2016-03-23 15:40,FEW,,,22000.00,,
MMCV,2016-03-23 19:40,BKN,,,22000.00,,
MMCV,2016-03-23 20:40,FEW,,,22000.00,,
MMCV,2016-03-24 01:40,SCT,,,2500.00,,
MMCV,2016-03-24 13:40,CLR,,,,,
MMCV,2016-03-24 15:40,CLR,,,,,
MMCV,2016-03-25 16:40,SCT,,,7000.00,,
MMCV,2016-03-25 17:40,FEW,,,7000.00,,
MMCV,2016-03-25 19:40,FEW,,,7000.00,,
MMCV,2016-03-25 22:40,FEW,,,8000.00,,
MMCV,2016-03-26 00:40,FEW,,,7000.00,,
MMCV,2016-03-26 01:40,CLR,,,,,
MMCV,2016-03-26 16:40,BKN,BKN,,7000.00,20000.00,
MMCV,2016-03-26 17:40,BKN,BKN,,7000.00,20000.00,
MMCV,2016-03-26 18:40,SCT,BKN,,7000.00,20000.00,
MMCV,2016-03-26 19:40,FEW,SCT,,7000.00,22000.00,
MMCV,2016-03-26 22:40,BKN,,,8000.00,,
MMCV,2016-03-27 00:40,BKN,,,8000.00,,
