station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
MUMZ,2016-10-11 14:50,SCT,,,2000.00,,
MUMZ,2019-07-03 12:50,FEW,,,2000.00,,
MUMZ,2022-01-14 21:50,FEW,,,2000.00,,
MUMZ,2022-07-19 12:50,FEW,,,2000.00,,
MUMZ,2023-11-29 19:50,SCT,,,1800.00,,
MUMZ,2023-11-29 20:51,SCT,,,1800.00,,
MUMZ,2023-11-30 12:56,SCT,,,2000.00,,
MUMZ,2023-11-30 13:50,FEW,,,2000.00,,
MUMZ,2023-11-30 14:50,FEW,,,2000.00,,
MUMZ,2023-11-30 15:51,FEW,,,2000.00,,
MUMZ,2023-11-30 16:50,SCT,,,2000.00,,
MUMZ,2023-11-30 17:50,SCT,,,2000.00,,
MUMZ,2023-11-30 18:57,SCT,,,2000.00,,
MUMZ,2023-11-30 19:58,SCT,,,2000.00,,
MUMZ,2023-11-30 20:54,SCT,,,2000.00,,
MUMZ,2023-12-01 12:53,FEW,,,2000.00,,
MUMZ,2023-12-01 13:51,FEW,,,2000.00,,
MUMZ,2023-12-01 14:50,FEW,,,2000.00,,
MUMZ,2023-12-01 15:50,FEW,,,2000.00,,
MUMZ,2023-12-01 16:50,FEW,,,2000.00,,
MUMZ,2023-12-01 17:50,FEW,,,2000.00,,
MUMZ,2023-12-01 18:50,SCT,,,2000.00,,
MUMZ,2023-12-01 19:50,SCT,,,2000.00,,
MUMZ,2023-12-01 20:50,SCT,,,2000.00,,
MUMZ,2023-12-04 12:51,FEW,,,2000.00,,
MUMZ,2023-12-04 13:50,FEW,,,2000.00,,
MUMZ,2023-12-04 14:50,FEW,,,2000.00,,
MUMZ,2023-12-04 15:53,FEW,,,2000.00,,
MUMZ,2023-12-04 16:51,SCT,,,2000.00,,
MUMZ,2023-12-04 17:50,SCT,,,2000.00,,
MUMZ,2023-12-04 18:50,SCT,,,2000.00,,
MUMZ,2023-12-04 19:50,SCT,,,2000.00,,
MUMZ,2023-12-04 20:50,SCT,,,2000.00,,
MUMZ,2023-12-05 12:53,FEW,BKN,,2000.00,7000.00,
MUMZ,2023-12-05 13:50,FEW,,,2000.00,,
MUMZ,2023-12-05 14:50,FEW,,,2000.00,,
MUMZ,2023-12-05 15:50,SCT,,,2000.00,,
MUMZ,2023-12-05 16:51,SCT,,,2000.00,,
MUMZ,2023-12-05 17:50,SCT,,,2000.00,,
MUMZ,2023-12-05 18:50,BKN,,,2000.00,,
MUMZ,2023-12-05 19:50,BKN,,,2000.00,,
MUMZ,2023-12-05 20:50,BKN,,,2000.00,,
MUMZ,2023-12-06 12:54,FEW,,,200.00,,
MUMZ,2023-12-06 13:52,FEW,,,2000.00,,
MUMZ,2023-12-06 14:50,FEW,,,2000.00,,
MUMZ,2023-12-06 15:50,FEW,,,2000.00,,
MUMZ,2023-12-06 16:51,SCT,,,2000.00,,
MUMZ,2023-12-06 17:50,SCT,,,2000.00,,
MUMZ,2023-12-06 18:50,SCT,,,2000.00,,
MUMZ,2023-12-06 19:50,SCT,,,2000.00,,
MUMZ,2023-12-06 20:50,BKN,,,2000.00,,
MUMZ,2023-12-07 12:50,FEW,,,2000.00,,
MUMZ,2023-12-07 13:51,FEW,BKN,,2000.00,8000.00,
MUMZ,2023-12-07 14:50,FEW,SCT,,2000.00,8000.00,
MUMZ,2023-12-07 15:50,SCT,,,2000.00,,
MUMZ,2023-12-07 16:50,BKN,,,2000.00,,
MUMZ,2023-12-07 17:50,BKN,,,2000.00,,
MUMZ,2023-12-07 18:50,BKN,,,2000.00,,
MUMZ,2023-12-07 19:50,BKN,,,2000.00,,
MUMZ,2023-12-07 20:50,BKN,,,2000.00,,
MUMZ,2023-12-08 12:57,FEW,,,2000.00,,
MUMZ,2023-12-08 13:52,FEW,,,2500.00,,
MUMZ,2023-12-08 14:52,FEW,,,2500.00,,
MUMZ,2023-12-08 15:52,SCT,,,2500.00,,
MUMZ,2023-12-08 16:53,FEW,SCT,,2500.00,3000.00,
MUMZ,2023-12-08 17:53,FEW,SCT,,2500.00,3000.00,
MUMZ,2023-12-08 18:52,SCT,,,3000.00,,
MUMZ,2023-12-08 19:53,SCT,,,2500.00,,
MUMZ,2023-12-08 20:52,SCT,,,2500.00,,
MUMZ,2023-12-11 12:50,SCT,,,2000.00,,
MUMZ,2023-12-11 13:50,SCT,,,2000.00,,
MUMZ,2023-12-11 14:51,SCT,,,2000.00,,
MUMZ,2023-12-11 15:50,SCT,,,2000.00,,
MUMZ,2023-12-11 16:50,SCT,,,2000.00,,
MUMZ,2023-12-11 17:50,SCT,,,2000.00,,
MUMZ,2023-12-11 18:51,BKN,,,2000.00,,
MUMZ,2023-12-11 19:50,BKN,,,2000.00,,
MUMZ,2023-12-11 20:50,BKN,,,2000.00,,
MUMZ,2023-12-12 12:52,FEW,,,2000.00,,
MUMZ,2023-12-12 13:56,FEW,,,2000.00,,
MUMZ,2023-12-12 15:54,SCT,,,2000.00,,
MUMZ,2023-12-12 16:55,SCT,,,2000.00,,
MUMZ,2023-12-12 17:50,SCT,,,2000.00,,
MUMZ,2023-12-12 18:55,FEW,BKN,,2500.00,9000.00,
MUMZ,2023-12-12 19:52,FEW,BKN,,2500.00,10000.00,
MUMZ,2023-12-12 20:53,FEW,BKN,,2000.00,12000.00,
MUMZ,2023-12-13 13:51,FEW,BKN,,2000.00,6000.00,
MUMZ,2023-12-13 14:51,SCT,BKN,,2000.00,8000.00,
MUMZ,2023-12-13 15:50,SCT,BKN,,2000.00,8000.00,
MUMZ,2023-12-13 16:51,SCT,BKN,,2000.00,8000.00,
MUMZ,2023-12-13 17:50,SCT,BKN,,2000.00,8000.00,
MUMZ,2023-12-13 18:50,SCT,BKN,,2000.00,8000.00,
MUMZ,2023-12-13 19:50,SCT,BKN,,2000.00,8000.00,
MUMZ,2023-12-13 20:50,BKN,,,2000.00,,
MUMZ,2023-12-14 12:55,FEW,BKN,,2000.00,7000.00,
MUMZ,2023-12-14 13:50,FEW,BKN,,2000.00,7000.00,
MUMZ,2023-12-14 14:54,FEW,SCT,,2000.00,7000.00,
MUMZ,2023-12-14 15:50,SCT,,,2000.00,,
MUMZ,2023-12-14 16:50,SCT,,,2000.00,,
MUMZ,2023-12-14 17:50,BKN,,,2000.00,,
MUMZ,2023-12-14 18:50,BKN,,,2000.00,,
MUMZ,2023-12-14 19:50,SCT,,,2000.00,,
MUMZ,2023-12-14 20:50,SCT,,,2000.00,,
MUMZ,2023-12-15 12:53,SCT,,,2000.00,,
MUMZ,2023-12-15 13:51,SCT,,,2000.00,,
MUMZ,2023-12-15 14:50,FEW,,,2000.00,,
MUMZ,2023-12-15 15:50,FEW,,,2000.00,,
MUMZ,2023-12-15 16:50,SCT,,,2000.00,,
MUMZ,2023-12-15 17:50,SCT,,,2000.00,,
MUMZ,2023-12-15 18:50,SCT,,,2000.00,,
MUMZ,2023-12-15 19:50,BKN,,,2000.00,,
MUMZ,2023-12-15 20:50,BKN,,,2000.00,,
MUMZ,2023-12-18 12:58,BKN,,,1800.00,,
MUMZ,2023-12-18 13:53,SCT,BKN,,1800.00,6000.00,
MUMZ,2023-12-18 14:51,SCT,BKN,,1800.00,6000.00,
MUMZ,2023-12-18 15:51,BKN,,,1800.00,,
MUMZ,2023-12-18 16:50,BKN,,,1800.00,,
MUMZ,2023-12-18 17:51,BKN,,,2000.00,,
MUMZ,2023-12-18 18:55,SCT,,,2000.00,,
MUMZ,2023-12-18 19:54,SCT,,,2000.00,,
MUMZ,2023-12-18 20:54,BKN,,,2000.00,,
MUMZ,2023-12-19 12:52,FEW,,,2000.00,,
MUMZ,2023-12-19 13:51,FEW,,,2000.00,,
MUMZ,2023-12-19 14:50,FEW,,,2000.00,,
MUMZ,2023-12-19 15:50,FEW,,,2000.00,,
MUMZ,2023-12-19 16:51,SCT,,,2000.00,,
MUMZ,2023-12-19 17:50,BKN,,,2000.00,,
MUMZ,2023-12-19 18:50,BKN,,,2000.00,,
MUMZ,2023-12-19 19:50,BKN,,,2000.00,,
MUMZ,2023-12-19 20:50,BKN,,,2000.00,,
MUMZ,2023-12-20 12:50,FEW,,,2000.00,,
MUMZ,2023-12-20 13:50,FEW,,,2000.00,,
MUMZ,2023-12-20 14:51,FEW,,,2000.00,,
MUMZ,2023-12-20 15:50,SCT,,,2000.00,,
MUMZ,2023-12-20 16:50,SCT,,,2000.00,,
MUMZ,2023-12-20 17:50,SCT,,,2000.00,,
MUMZ,2023-12-20 18:50,SCT,,,2000.00,,
MUMZ,2023-12-20 19:50,SCT,,,2000.00,,
MUMZ,2023-12-20 20:51,SCT,,,2000.00,,
MUMZ,2023-12-21 12:52,FEW,,,2000.00,,
MUMZ,2023-12-21 13:50,FEW,,,2000.00,,
MUMZ,2023-12-21 14:50,SCT,,,2000.00,,
MUMZ,2023-12-21 15:50,SCT,,,2000.00,,
MUMZ,2023-12-21 16:50,BKN,,,2000.00,,
MUMZ,2023-12-21 17:50,BKN,,,2000.00,,
MUMZ,2023-12-21 18:50,BKN,,,2000.00,,
MUMZ,2023-12-21 19:50,BKN,,,2000.00,,
MUMZ,2023-12-21 20:50,BKN,,,2000.00,,
MUMZ,2023-12-22 12:57,FEW,SCT,,2000.00,6000.00,
MUMZ,2023-12-22 13:58,FEW,SCT,,2000.00,6000.00,
MUMZ,2023-12-22 14:53,SCT,,,2000.00,,
MUMZ,2023-12-22 15:54,SCT,,,2000.00,,
MUMZ,2023-12-22 16:53,SCT,,,2000.00,,
MUMZ,2023-12-22 17:53,SCT,,,2000.00,,
MUMZ,2023-12-22 18:57,SCT,,,2000.00,,
MUMZ,2023-12-22 19:55,SCT,,,2000.00,,
MUMZ,2023-12-22 20:54,SCT,,,2000.00,,
MUMZ,2023-12-23 16:50,SCT,,,2000.00,,
MUMZ,2023-12-23 17:51,SCT,,,2000.00,,
MUMZ,2023-12-23 18:51,BKN,,,2000.00,,
MUMZ,2023-12-23 19:50,BKN,,,2000.00,,
MUMZ,2023-12-23 20:50,BKN,,,2000.00,,
MUMZ,2023-12-25 13:51,FEW,,,2000.00,,
MUMZ,2023-12-25 14:51,FEW,,,2000.00,,
MUMZ,2023-12-25 15:50,FEW,,,2000.00,,
MUMZ,2023-12-25 16:50,FEW,,,2000.00,,
MUMZ,2023-12-25 17:56,SCT,,,2500.00,,
MUMZ,2023-12-25 18:52,SCT,,,2500.00,,
MUMZ,2023-12-25 19:51,SCT,,,2500.00,,
MUMZ,2023-12-25 20:52,SCT,,,3000.00,,
MUMZ,2023-12-26 12:55,SCT,,,2000.00,,
MUMZ,2023-12-26 13:50,SCT,,,2000.00,,
MUMZ,2023-12-26 14:50,FEW,,,2000.00,,
MUMZ,2023-12-26 15:50,FEW,,,2000.00,,
MUMZ,2023-12-26 16:51,FEW,,,2000.00,,
MUMZ,2023-12-26 17:50,FEW,,,2000.00,,
MUMZ,2023-12-26 18:50,SCT,,,2000.00,,
MUMZ,2023-12-26 19:50,SCT,,,2000.00,,
MUMZ,2023-12-26 20:50,SCT,,,2000.00,,
MUMZ,2023-12-27 12:51,SCT,,,2000.00,,
MUMZ,2023-12-27 13:52,SCT,,,2000.00,,
MUMZ,2023-12-27 15:51,BKN,,,2000.00,,
MUMZ,2023-12-27 16:50,BKN,,,2000.00,,
MUMZ,2023-12-27 17:50,BKN,,,2000.00,,
MUMZ,2023-12-27 18:50,BKN,,,2000.00,,
MUMZ,2023-12-27 19:52,BKN,,,2000.00,,
MUMZ,2023-12-27 20:50,SCT,,,2000.00,,
MUMZ,2023-12-28 12:56,FEW,BKN,,2000.00,7000.00,
MUMZ,2023-12-28 13:53,SCT,BKN,,2000.00,6000.00,
MUMZ,2023-12-28 14:51,SCT,BKN,,2000.00,6000.00,
MUMZ,2023-12-28 15:50,FEW,SCT,,2000.00,6000.00,
MUMZ,2023-12-28 16:50,SCT,,,2000.00,,
MUMZ,2023-12-28 17:51,BKN,,,2000.00,,
MUMZ,2023-12-28 18:50,BKN,,,2000.00,,
MUMZ,2023-12-28 19:50,BKN,,,2000.00,,
MUMZ,2023-12-28 20:50,BKN,,,2000.00,,
MUMZ,2023-12-29 12:54,BKN,,,1600.00,,
MUMZ,2023-12-29 13:51,SCT,BKN,,1800.00,6000.00,
MUMZ,2023-12-29 14:50,BKN,,,1800.00,,
MUMZ,2023-12-29 15:50,BKN,,,2000.00,,
